publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2028,Caso acelerado,1595.47
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2028,Caso acelerado,18.5
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2028,Caso acelerado,1539.15
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2028,Caso acelerado,2748.32
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2028,Caso acelerado,2076.42
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2028,Caso principal,190.44
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2028,Caso principal,0.64
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2028,Caso principal,8.47
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2028,Caso principal,158.69
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2028,Caso principal,1519.66
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2028,Caso principal,17.87
